행정동,이름,주소,Latitude,Longitude
영등포동,중마루공원,서울 영등포구 영등포로53길 14,37.5197905,126.9113685
영등포동,타임스퀘어,서울 영등포구 영중로 15,37.5170751,126.9033411
영등포동,서울 사회복지대학원 대학교,서울 영등포구 영신로34길 18,37.5195285,126.9031087
영등포동,영등포 중앙어린이공원,서울 영등포구 영등포로35길 13,37.5214401,126.9037671
영등포동,영등포동 주민센터,서울 영등포구 영등포로53길 22,37.5203428,126.9106816
영등포동,한림대학교 한강성심병원,서울 영등포구 버드나루로7길 12,37.5231787,126.9097085
영등포동,서강어린이공원,서울 영등포구 영등포동8가 28,37.525887,126.9059023
영등포동,롯데마트 맥스 영등포점,서울 영등포구 영중로 125,37.5278069,126.9046657
영등포동,knk 디지털타워,서울 영등포구 영신로 220,37.5268181,126.9041497
영등포동,김안과병원,서울 영등포구 영신로 136,37.5196247,126.9013986
영등포동,당산푸르지오아파트,서울 영등포구 영중로 154,37.5300833,126.906395
영등포동,영등포삼환아파트,서울 영등포구 영중로 145,37.5294425,126.905072
영등포동,경남아너스빌아파트,서울 영등포구 양산로 177,37.5239445,126.902692
영등포동,아크로타워스퀘어아파트,서울 영등포구 국회대로54길 10,37.5236412,126.906415
영등포동,신세계백화점 타임스퀘어점,서울 영등포구 영중로 9,37.5171533,126.90554
영등포동,ST-1322,서울특별시 영등포구 영중로 22,37.520119,126.905167
영등포동,ST-1653,서울특별시 영등포구 영중로 107,37.525768,126.905739
영등포동,ST-380,서울특별시 영등포구 영등포로34길 9,37.519463,126.902649
영등포동,ST-2429,서울특별시 영등포구 영등포로34길 9,37.51944,126.902573
영등포동,ST-420,서울특별시 영등포구 영등포로 177,37.520294,126.901192
영등포동,ST-293,서울특별시 영등포구 영등포동8가 82-4,37.530079,126.905708
영등포동,ST-1968,서울특별시 영등포구 영등포동8가 29-1,37.526302,126.90538
영등포동,ST-288,서울특별시 영등포구 영등포동7가 58-2,37.525852,126.903282
영등포동,ST-306,서울특별시 영등포구 영등포동1가35,37.517693,126.914299
영등포동,ST-2818,서울특별시 영등포구 영등포구 영등포동2가 174-1,37.518749,126.912209
영등포동,ST-2815,서울특별시 영등포구 영등포구 영등포4가 442-6,37.518036,126.903648
영등포동,ST-1649,서울특별시 영등포구 양산로 213,37.522518,126.907219
영등포동,ST-1650,서울특별시 영등포구 문래로 180,37.518211,126.902229
영등포동,ST-2822,서울특별시 영등포구 국회대로50길 20 포레나 영등포,37.523415,126.905403
영등포동,ST-1321,서울특별시 영등포구 경인로112길 1,37.518284,126.912636
영등포동,ST-3204,서울특별시 영등포구 경인로 900 여의도더리브스타일,37.517918,126.912598
영등포동,ST-229,서울 영등포구 영등포로34길 3,37.519951,126.902451
