도로명주소,Latitude,Longitude
서울특별시 은평구 진관3로 33,37.640175,126.920021
서울특별시 강서구 마곡중앙로 161-1,37.567879,126.8274685
서울특별시 은평구 연서로29길 8,37.6189588,126.9192745
서울특별시 강서구 공항대로 261,37.5591521,126.8365291
서울특별시 강서구 강서로56길 17,37.5599625,126.8403501
서울특별시 강서구 화곡로25길 2,37.5413933,126.8385009
서울특별시 서대문구 거북골로 25-1,37.5798404,126.924624
서울특별시 마포구 포은로 109-1,37.5567812,126.9044621
서울특별시 마포구 양화로23길 34,37.5598162,126.9249083
서울특별시 양천구 목동동로 339,37.5321802,126.8768182
서울특별시 양천구 오목로 212,37.5254299,126.8613075
서울특별시 마포구 양화로 156,37.5560787,126.9234503
서울특별시 양천구 신월로 295,37.5214889,126.8538702
서울특별시 마포구 홍익로6길 21,37.5554906,126.9228699
서울특별시 마포구 홍익로6길 23,37.5555556,126.9229568
서울특별시 마포구 홍익로 19,37.5540059,126.9226117
서울특별시 마포구 양화로6길 30,37.5488874,126.9157826
서울특별시 마포구 어울마당로 79-1,37.5522363,126.9214467
서울특별시 서대문구 연세로 29-1,37.5583285,126.9367539
서울특별시 서대문구 명물길 46,37.5585061,126.9391184
서울특별시 종로구 자하문로2길 17-2,37.5765339,126.973745
서울특별시 영등포구 경인로79길 13,37.5130499,126.8939124
서울특별시 종로구 북촌로 23,37.5789428,126.9849348
서울특별시 종로구 윤보선길 10,37.5765462,126.9843077
서울특별시 영등포구 영중로4길 17,37.5176596,126.9083541
서울특별시 종로구 인사동길 49,37.5745514,126.9837955
서울특별시 종로구 인사동길 44,37.5742644,126.9848862
서울특별시 강북구 한천로139길 39,37.6386318,127.0252331
서울특별시 구로구 구로중앙로 152,37.5011761,126.8828394
서울특별시 강북구 삼양로27길 35-21,37.6179491,127.0189395
서울특별시 종로구 수표로28길 17-34,37.5736489,126.9895837
서울특별시 종로구 수표로28길 17-34,37.5736489,126.9895837
서울특별시 종로구 대명길 42,37.5830027,126.9992832
서울특별시 용산구 청파로45길 24,37.5445162,126.9692523
서울특별시 성북구 동소문로22길 36,37.5914667,127.0179826
서울특별시 구로구 디지털로31길 120,37.4885089,126.8908014
서울특별시 중구 장충단로13길 20,37.568643,127.0077325
서울특별시 동작구 노량진로16길 22,37.5126239,126.9437381
서울특별시 용산구 녹사평대로46길 23,37.5372666,126.9881324
서울특별시 구로구 디지털로32길 87,37.4832536,126.900116
서울특별시 노원구 상계로 65 현성빌딩,37.6563031,127.0622365
서울특별시 금천구 디지털로10길 9,37.4775817,126.8890846
서울 금천구 디지털로 10길 9,37.4775817,126.8890846
서울특별시 노원구 노해로81길 12-4,37.6553984,127.063096
서울특별시 용산구 이태원로 171,37.5346635,126.993056
서울특별시 관악구 남부순환로 1598,37.4837414,126.9283634
서울특별시 동대문구 회기로 151-1,37.5913145,127.0533311
서울특별시 성동구 마조로 25,37.5600895,127.0408984
서울특별시 관악구 남부순환로230길 32,37.4786894,126.9554403
서울특별시 성동구 서울숲2길 48,37.5461763,127.0438549
서울특별시 성동구 서울숲4길 20,37.5471573,127.043066
서울특별시 동작구 동작대로27길 28,37.4876187,126.980428
서울특별시 강남구 도산대로11길 18,37.5186639,127.0226983
서울특별시 강남구 선릉로157길 27,37.5261798,127.0375443
서울특별시 강남구 강남대로106길 7,37.5029918,127.0262228
서울특별시 서초구 서초대로77길 37,37.5009881,127.02509
서울특별시 강남구 강남대로102길 20,37.5022602,127.0273118
서울특별시 광진구 광나루로 382,37.5474551,127.0720604
서울특별시 광진구 아차산로33길 14,37.5409268,127.0702405
서울특별시 강남구 영동대로 513,37.5125207,127.0588194
서울특별시 강남구 테헤란로83길 18,37.508635,127.0577249
서울특별시 강남구 선릉로 317,37.4978551,127.051805
서울특별시 강남구 삼성로 238,37.4986375,127.0614624
서울시 송파구 백제고분로 7길 24,37.5103987,127.0815096
서울특별시 송파구 올림픽로10길 17,37.5100526,127.0813896
서울특별시 강남구 개포로 508,37.4892091,127.0679609
서울특별시 송파구 올림픽로 240,37.5112862,127.0979392
서울특별시 송파구 올림픽로 240,37.5112862,127.0979392
서울특별시 강동구 천호대로 1005,37.5390258,127.1244577
서울특별시 송파구 오금로11길 11-8,37.5149946,127.1087274
서울특별시 강동구 천호대로157길 11,37.5383494,127.1267428
서울특별시 송파구 백제고분로45길 17,37.5096671,127.1095214
서울특별시 송파구 백제고분로45길 14,37.5097042,127.1100241
서울특별시 송파구 송파대로38길 9,37.5011685,127.1122573
서울특별시 강동구 고덕로 266,37.5546621,127.155119
서울 송파구 충민로 81-1,37.479721,127.1263501
서울특별시 송파구 충민로 66,37.4776483,127.1249964
서울특별시 종로구 우정국로2길 40,37.5694982,126.9852235
서울특별시 성북구 정릉로10길 34,37.6078675,126.9999694
서울특별시 동작구 동작대로3길 20,37.4784569,126.9803505
서울특별시 중구 서애로1길 11,37.5614077,126.9985014
서울특별시 종로구 자하문로7길 7,37.5782195,126.9711311
서울특별시 종로구 계동길 60,37.5799506,126.9868447
서울특별시 중랑구 면목로 341,37.5823489,127.0882923
서울특별시 영등포구 당산로32길 3,37.5265216,126.8972468
서울특별시 용산구 청파로43가길 33,37.54446,126.9682506
서울특별시 영등포구 도림로131길 13,37.5137303,126.8943279
서울특별시 용산구 한강대로52길 31,37.5316983,126.9727886
서울특별시 서대문구 이화여대길 42,37.5588799,126.9458676
서울특별시 성북구 고려대로26길 5,37.5859984,127.029992
서울특별시 강남구 언주로170길 31 용원,37.5266913,127.0363338
서울특별시 성북구 종암로 98-4,37.5989194,127.0349601
서울특별시 영등포구 여의나루로 117,37.5262404,126.9310906
서울특별시 성북구 종암로18길 3-4,37.5989194,127.0349601
서울특별시 강남구 도곡로78길 7,37.4976259,127.0593292
서울특별시 중랑구 망우로 353 상봉 프레미어스 엠코,37.598081,127.0905951
서울특별시 송파구 위례광장로 120,37.4748062,127.141566
서울특별시 마포구 양화로18길 15,37.5565683,126.9249303
서울특별시 노원구 한글비석로 269,37.6517301,127.0767968
서울특별시 강서구 마곡동로4길 23,37.559654,126.8362076
서울특별시 용산구 이태원로 166,37.5342224,126.9923549
서울특별시 강북구 월계로3길 68,37.6126378,127.0315435
서울특별시 구로구 중앙로6길 48,37.5001374,126.8663071
서울특별시 양천구 목동서로 65,37.5361521,126.8787302
서울특별시 동작구 노량진로16길 14,37.5129794,126.9435991
서울특별시 성동구 연무장길 37,37.5430829,127.0536515
서울특별시 송파구 백제고분로7길 32,37.5106896,127.0823824
서울특별시 노원구 동일로190길 67-5,37.626715,127.0765373
서울특별시 금천구 시흥대로52길 24,37.4524328,126.9025233
서울특별시 서초구 서초대로77길 31,37.5006258,127.0253614
서울특별시 용산구 신흥로 31,37.541293,126.986965
서울특별시 용산구 이태원로54길 52,37.5362272,127.0012065
서울특별시 종로구 삼청로 71-1,37.5819471,126.9812637
서울특별시 동작구 동작대로25길 11,37.4863028,126.9813767
서울특별시 종로구 대학로8가길 111,37.5809974,127.0035224
서울특별시 마포구 어울마당로 80,37.5521289,126.9216857
서울특별시 노원구 상계로 64,37.6556813,127.0623264
서울특별시 관악구 관악로14길 50,37.4785773,126.9552604
서울특별시 광진구 동일로30길 51,37.5475678,127.0702093
서울특별시 영등포구 영등포로50길 11,37.5179252,126.9094173
서울특별시 광진구 아차산로29길 7,37.5413168,127.0680945
서울특별시 강서구 강서로45길 42,37.5481534,126.8338573
서울특별시 성동구 서울숲2길 17-2,37.5471617,127.0407933
서울특별시 송파구 백제고분로45길 23,37.5099898,127.1088123
서울특별시 서대문구 명물길 26,37.5579927,126.9382343
서울특별시 동대문구 회기로 171,37.5905168,127.0550639
서울특별시 마포구 포은로 88,37.5548788,126.9053962
서울특별시 마포구 동교로 230,37.5604243,126.9244546
서울특별시 마포구 신촌로2안길 2,37.5575711,126.927321
서울특별시 강남구 선릉로155길 21,37.5254935,127.0379362
서울특별시 은평구 연서로29길 23,37.619361,126.9176596
서울특별시 강남구 강남대로160길 50,37.5204694,127.022609
서울특별시 관악구 신림로59길 10,37.4831591,126.9292001
서울특별시 종로구 인사동길 52,37.5746627,126.9842706
서울특별시 강서구 마곡중앙5로 6 마곡나루역보타닉푸르지오시티,37.5671562,126.8272843
서울특별시 강동구 천호옛14길 23,37.5361986,127.1267803
서울특별시 종로구 돈화문로11나길 32,37.5741433,126.9902268
서울특별시 마포구 어울마당로 58,37.550094,126.9212984
서울특별시 강남구 강남대로102길 16,37.5021087,127.0271821
서울특별시 강북구 도봉로87길 32,37.6390624,127.0241829
서울특별시 성동구 왕십리광장로 17 왕십리민자역사,37.5621083,127.0383146
서울특별시 성북구 동소문로22길 36,37.5914667,127.0179826
서울특별시 종로구 대명길 34,37.5832146,126.9996622
서울 강동구 동남로75길 19,37.5541411,127.1551558
서울 양천구 목동서로 389,37.5158046,126.8611952
서울 강동구 상암로 42,37.5495488,127.127852
서울 강남구 강남대로102길 13,37.5020505,127.0268491
서울 관악구 남부순환로 1606,37.483928,126.9290844
서울 양천구 중앙로 267,37.5201013,126.8524888
서울 동대문구 회기로 147,37.5916201,127.0528859
서울 은평구 연서로29길 5,37.6186121,126.9195119
서울 서초구 서초대로77길 29,37.5003306,127.0255079
서울 중구 덕수궁길 9,37.5647935,126.9762284
서울 종로구 종로12길 15,37.5693659,126.9860469
서울 광진구 자양로18길 15,37.5377123,127.0842951
서울 종로구 자하문로 15,37.577473,126.9719387
서울 종로구 북촌로5길 45,37.5793879,126.9823814
서울 종로구 율곡로3길 73-1,37.5789103,126.9820136
서울 영등포구 경인로79길 16,37.5134057,126.8938036
서울 마포구 어울마당로 86,37.5526822,126.9218544
서울 성동구 연무장길 50,37.5424768,127.0548315
서울 종로구 수표로28길 17-6,37.5730147,126.9896026
서울 용산구 이태원로54길 58-13,37.5355368,127.000479
서울 강서구 강서로13길 3,37.5323069,126.8461034
서울 마포구 양화로 191,37.5586715,126.9257584
서울 종로구 대명길 37,37.5829,126.9995972
서울 노원구 노해로81길 16,37.6556636,127.0628767
서울 노원구 한글비석로 250,37.6499887,127.0770075
서울 성동구 마조로 21,37.5597975,127.0408759
서울 강남구 강남대로154길 43,37.5186924,127.0223974
서울 송파구 백제고분로45길 11,37.5094155,127.1099873
