,번호,신고일,구정보,주소,유형,조치일,행정동
7,8,2021-07-15,영등포구,서울특별시 영등포구 영등포동1가 97-4,보도 중앙,2021-07-15,영등포동
8,9,2021-07-15,영등포구,서울특별시 영등포구 여의도동 84-10,보도와 차도가 구분된 도로의 차도,2021-07-15,여의동
10,11,2021-07-15,영등포구,서울특별시 영등포구 문래동6가 45-1,"횡단보도, 산책로 등",2021-07-15,문래동
11,12,2021-07-15,영등포구,서울특별시 영등포구 신길동 4877,"점자블록, 엘리베이터 입구",2021-07-15,신길7동
14,15,2021-07-15,영등포구,서울특별시 영등포구 신길동 4209,"횡단보도, 산책로 등",2021-07-15,신길6동
15,16,2021-07-15,영등포구,서울특별시 영등포구 여의도동 4-5,"점자블록, 엘리베이터 입구",2021-07-15,여의동
16,17,2021-07-15,영등포구,서울특별시 영등포구 여의도동 2-7,보도 중앙,2021-07-15,여의동
18,19,2021-07-15,영등포구,서울특별시 영등포구 여의도동 17-1,"버스정류장, 택시 승강장",2021-07-15,여의동
19,20,2021-07-15,영등포구,서울특별시 영등포구 여의도동 1-5,"버스정류장, 택시 승강장",2021-07-15,여의동
21,22,2021-07-15,영등포구,서울특별시 영등포구 신길동 205-270,보도와 차도가 구분된 도로의 차도,2021-07-15,신길4동
22,23,2021-07-15,영등포구,서울특별시 영등포구 신길동 4934-12,"횡단보도, 산책로 등",2021-07-15,신길4동
23,24,2021-07-15,영등포구,서울특별시 영등포구 여의도동 12,보도 중앙,2021-07-15,여의동
25,26,2021-07-15,영등포구,서울특별시 영등포구 신길동 50-4,소방시설 5m 이내 구역,2021-07-15,영등포본동
27,28,2021-07-15,영등포구,서울특별시 영등포구 영등포동1가 95-2,"버스정류장, 택시 승강장",2021-07-15,영등포동
31,32,2021-07-15,영등포구,서울특별시 영등포구 여의도동 1-3,보도와 차도가 구분된 도로의 차도,2021-07-15,여의동
32,33,2021-07-15,영등포구,서울특별시 영등포구 여의도동 1-3,보도와 차도가 구분된 도로의 차도,2021-07-15,여의동
33,34,2021-07-15,영등포구,서울특별시 영등포구 여의도동 1-3,"버스정류장, 택시 승강장",2021-07-15,여의동
34,35,2021-07-15,영등포구,서울특별시 영등포구 신길동 4209,"횡단보도, 산책로 등",2021-07-15,신길6동
35,36,2021-07-16,영등포구,서울특별시 영등포구 문래동5가 6,보도와 차도가 구분된 도로의 차도,2021-07-16,문래동
38,39,2021-07-16,영등포구,서울특별시 영등포구 여의도동 4,소방시설 5m 이내 구역,2021-07-16,여의동
39,40,2021-07-16,영등포구,서울특별시 영등포구 여의도동 4,소방시설 5m 이내 구역,2021-07-16,여의동
40,41,2021-07-16,영등포구,서울특별시 영등포구 여의도동 3,기타,2021-07-16,여의동
42,43,2021-07-16,영등포구,서울특별시 영등포구 문래동3가 55-13,"점자블록, 엘리베이터 입구",2021-07-16,문래동
45,46,2021-07-16,영등포구,서울특별시 영등포구 문래동3가 31-1,보도와 차도가 구분된 도로의 차도,2021-07-16,문래동
46,47,2021-07-16,영등포구,서울특별시 영등포구 여의도동 27-2,"건물, 상가 보행자 진출입",2021-07-16,여의동
47,48,2021-07-16,영등포구,서울특별시 영등포구 당산동 378,보도와 차도가 구분된 도로의 차도,2021-07-16,당산2동
48,49,2021-07-16,영등포구,서울특별시 영등포구 여의도동 2-6,"건물, 상가 보행자 진출입",2021-07-16,여의동
53,54,2021-07-16,영등포구,서울특별시 영등포구 영등포동7가 65-8,"횡단보도, 산책로 등",2021-07-16,영등포동
54,55,2021-07-16,영등포구,서울특별시 영등포구 영등포동5가 131-5,보도와 차도가 구분된 도로의 차도,2021-07-16,영등포동
56,57,2021-07-16,영등포구,서울특별시 영등포구 여의도동 3,"횡단보도, 산책로 등",2021-07-16,여의동
58,59,2021-07-16,영등포구,서울특별시 영등포구 여의도동 3,"횡단보도, 산책로 등",2021-07-16,여의동
60,61,2021-07-16,영등포구,서울특별시 영등포구 신길동 41-49,"버스정류장, 택시 승강장",2021-07-16,신길1동
62,63,2021-07-16,영등포구,서울특별시 영등포구 신길동 114-5,"점자블록, 엘리베이터 입구",2021-07-16,신길1동
65,66,2021-07-16,영등포구,서울특별시 영등포구 여의도동 8,"버스정류장, 택시 승강장",2021-07-16,여의동
67,68,2021-07-16,영등포구,서울특별시 영등포구 영등포동 618-9,보도와 차도가 구분된 도로의 차도,2021-07-16,영등포본동
69,70,2021-07-16,영등포구,서울특별시 영등포구 영등포동 618-9,"버스정류장, 택시 승강장",2021-07-16,영등포본동
71,72,2021-07-16,영등포구,서울특별시 영등포구 여의도동 5-4,"횡단보도, 산책로 등",2021-07-16,여의동
74,75,2021-07-16,영등포구,서울특별시 영등포구 대림동 697-2,"버스정류장, 택시 승강장",2021-07-16,대림2동
79,80,2021-07-16,영등포구,서울특별시 영등포구 여의도동 2-8,보도 중앙,2021-07-16,여의동
82,83,2021-07-16,영등포구,서울특별시 영등포구 대림동 1032-21,"버스정류장, 택시 승강장",2021-07-16,대림2동
84,85,2021-07-16,영등포구,서울특별시 영등포구 영등포동2가 94-342,"횡단보도, 산책로 등",2021-07-16,영등포동
